File Name,NNH Cost,NNH (TwoOpt),NNH (NodeSwap),NNH (NodeShift),CIH Cost,CIH (TwoOpt),CIH (NodeSwap),CIH (NodeShift),RIH Cost,RIH (TwoOpt),RIH (NodeSwap),RIH (NodeShift), Semi-GreedyCIH(3),Semi-GreedyCIH(4),Semi-GreedyCIH(5)
a280.tsp,3148.109934934404,2793.714751274733,3100.492117676489,2904.999095570739,3086.8478804633864,2927.468611655724,2982.551679381632,2866.13222733852,34287.08448019248,3155.1382918419563,6982.494715566428,4355.469011662659,4553.94389538794,4975.970128214245,5672.6154171532935
berlin52.tsp,8980.918279329191,8384.187161856415,8797.919648417057,8550.504530170754,7885.519734134286,7885.428009064317,7885.428009064317,7782.984436148983,29343.286679744346,9019.75603472355,11752.329158741752,10220.018168064658,11679.928496068043,12913.704146461581,13218.500406410754
bier127.tsp,135751.77804825202,126605.2285005519,129644.10793651134,125704.57124461274,132500.8085627829,128765.43048508311,130803.68755327028,128458.39632122444,647523.626450597,131696.0624448065,206720.12902270863,155305.2014521884,176632.13939721737,195794.9492398398,208403.8455861679
ch130.tsp,7575.286291798959,7025.873688389525,7404.228395721582,7102.645792670792,6495.445594327559,6417.231902710335,6458.061949152858,6379.569292704815,45396.463737358994,6903.580994058944,12992.349604179622,8609.274302694783,9317.652934459435,10910.689194112156,12138.889768015266
ch150.tsp,8194.614331512179,7194.0958944289905,8119.931588311936,7633.826234410506,7145.029708646425,7076.621775467557,7089.53414289061,6893.1260919933775,55464.24397370301,7599.42530167487,14928.239423963172,9670.319812353482,10590.442681300241,12091.870636587399,12695.884804438216
eil51.tsp,513.610006884723,465.90940666737396,507.8182691872435,488.4935142924254,465.4106411673056,461.8954399708497,461.8954399708497,448.1489405485435,1609.97649614585,480.62788271495367,601.4601781374621,494.9639916147707,599.0874496470913,669.890002793776,771.9620645733289
eil76.tsp,711.993292632752,620.0300674437826,690.6661255960437,637.7975946497104,609.0098701700822,593.0088099260086,599.573034310481,579.4039224686271,2531.8919137817106,600.583251236243,819.2086432455369,687.0656468456586,742.8376917367325,896.7602263051145,968.6591301212617
eil101.tsp,825.2423227277445,707.5226887936502,792.7105478766105,732.4398961568315,713.8966043181972,707.9382584219165,707.9382584219165,668.5827598475709,3361.0091123362613,735.913029094595,950.2683800484655,773.9654447838758,911.223769884726,1005.3005908845671,1107.0296788399728
kroA100.tsp,26856.388591241608,23641.415715623163,24874.657318004723,24039.70414407053,22397.655144255437,21670.141093019385,22008.12580601442,21622.374467573198,165294.26779553783,24929.66842113873,46415.16744932633,37676.73125917212,34032.731384094506,39066.37662677904,42574.90988763923
kroB100.tsp,29155.04370371318,24985.199404529394,28594.1854217017,26369.506666074478,24629.404612588132,23690.20245241972,24403.20069736699,23748.901777213174,182229.99447390425,27355.399502077453,41904.748635929034,35061.70498425214,36351.17097031081,41580.30020935337,42872.07953215258
